age,sex,educ,race,income,married,pid
53,0,13,1,120000,0,899
20,0,3,3,,0,900
46,0,9,1,23000,0,904
39,0,11,1,,0,906
22,0,3,3,11000,1,908
38,0,12,1,140000,1,912
,0,10,1,43120,1,914
28,0,9,4,20000,0,915
51,0,7,1,19000,0,922
43,0,13,1,23000,1,925
57,0,8,4,23000,1,962
43,0,11,3,15500,,971
50,0,14,4,100000,,972
39,0,13,2,100050,1,978
65,0,9,,26750,1,981
51,0,15,1,5400,1,993
